項目,指標,summary所載,重算值,差異,狀態,原因
D3→D5,6m上界,4.05,5.142780772472568,1.092780772472568,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
D3→D5,12m下界,1.08,1.0942997046030014,0.01429970460300134,MATCH,四捨五入容許範圍內
D3→D5,12m上界,4.01,4.437733350193732,0.4277333501937326,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→MOM_12_1,N,50.0,50,0.0,MATCH,四捨五入容許範圍內
C1→MOM_12_1,勝率,66.0,60.0,-6.0,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→MOM_12_1,平均,3.55,3.551547112205531,0.0015471122055310538,MATCH,四捨五入容許範圍內
C1→MOM_12_1,中位,3.54,2.1291148969017604,-1.4108851030982397,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→MOM_12_1,6m下界,0.74,0.028749672102532847,-0.7112503278974671,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→MOM_12_1,6m上界,6.55,7.401989606910547,0.8519896069105473,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→MOM_12_1,12m下界,0.79,0.23338633393558136,-0.5566136660644186,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→MOM_12_1,12m上界,6.48,7.108317548067822,0.6283175480678214,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→C1_12_1,N,50.0,50,0.0,MATCH,四捨五入容許範圍內
C1→C1_12_1,勝率,52.0,56.0,4.0,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→C1_12_1,平均,-0.08,0.9043346032217805,0.9843346032217805,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→C1_12_1,中位,0.44,0.5748402300003647,0.13484023000036466,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→C1_12_1,6m下界,-2.33,-1.3129075799918768,1.0170924200081233,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→C1_12_1,6m上界,2.05,3.232058842756078,1.1820588427560783,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→C1_12_1,12m下界,-2.3,-1.1827449575721598,1.11725504242784,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1→C1_12_1,12m上界,2.03,3.410553431249556,1.380553431249556,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1_12_1→MOM_12_1,N,50.0,50,0.0,MATCH,四捨五入容許範圍內
C1_12_1→MOM_12_1,勝率,76.0,64.0,-12.0,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1_12_1→MOM_12_1,平均,3.63,2.647212508983751,-0.9827874910162491,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1_12_1→MOM_12_1,中位,3.12,2.2580442227396644,-0.8619557772603357,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1_12_1→MOM_12_1,6m下界,1.84,0.4702891623290844,-1.3697108376709157,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1_12_1→MOM_12_1,6m上界,5.72,5.63593751247549,-0.08406248752450995,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1_12_1→MOM_12_1,12m下界,1.87,0.4054655528928299,-1.4645344471071702,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
C1_12_1→MOM_12_1,12m上界,5.65,5.73667899221275,0.08667899221274933,MISMATCH,原摘要與既有 summary.md 六個月配對表不一致；該表使用3/6m區塊，本輪按工單用6/12m。原摘要數字如何產生未解。
